05/04 06:26:00 INFO OrOmerShelly.OOSAgent|UNKNOWN Message Received: edu.umich.eecs.tac.props.AdvertiserInfo@bc76a1c1
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0 :BankStatus[0.000000]
05/04 06:26:00 INFO OrOmerShelly.Coordinator|tau.tac.adx.report.demand.InitialCampaignMessage[1618097247,1250,1,5,[FEMALE, LOW_INCOME],2.0,1.5,demand,[]]
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0: Allocated campaign - Campaign ID 1618097247: day 1 to 5 [FEMALE, LOW_INCOME], reach: 1250 coefs: (v=2.0, m=1.5)
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0: Campaign opportunity - Campaign ID 1529675476: day 2 to 11 [MALE, HIGH_INCOME], reach: 12500 coefs: (v=2.0, m=1.5)
05/04 06:26:00 INFO OrOmerShelly.Coordinator|****=== ESPECIALLY CRAFTED ===****
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0: Campaign total budget bid: 1013.4305138283312
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0: Adjusting ucs bid: was 0.12448462098183956 level reported: 0.47829690000000014 target: 0.9 adjusted: 0.10794554949292492
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0 : Simulation Status Received
05/04 06:26:00 WARNING OrOmerShelly.Coordinator|BidBundle is null!
05/04 06:26:00 INFO OrOmerShelly.Coordinator|Day 0 ended. Starting next day
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1 :BankStatus[0.000000]
05/04 06:26:10 INFO OrOmerShelly.OOSAgent|UNKNOWN Message Received: (CampaignAuctionReport CampaignAuctionReportEntry [actualBid=2104.0, effectiveBid=2104.0] CampaignAuctionReportEntry [actualBid=2430.0, effectiveBid=2430.0] CampaignAuctionReportEntry [actualBid=2731.0, effectiveBid=2731.0] CampaignAuctionReportEntry [actualBid=2817.0, effectiveBid=2817.0] CampaignAuctionReportEntry [actualBid=3204.0, effectiveBid=3204.0] CampaignAuctionReportEntry [actualBid=3236.0, effectiveBid=3236.0] CampaignAuctionReportEntry [actualBid=3244.0, effectiveBid=3244.0])
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1: Daily notification for campaign 1529675476
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1:  allocated to DummyAdnetwork-7. UCS Level set to 0.47829690000000014 at price 0.0 Quality Score is: 1.0
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1: Campaign opportunity - Campaign ID 1572208719: day 3 to 7 [FEMALE, LOW_INCOME], reach: 6250 coefs: (v=2.0, m=1.5)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|****=== ESPECIALLY CRAFTED ===****
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1: Campaign total budget bid: 993.3376146873242
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1: Adjusting ucs bid: was 0.10794554949292492 level reported: 0.47829690000000014 target: 0.9 adjusted: 0.13976599186353617
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Publishers Report: 
05/04 06:26:10 INFO OrOmerShelly.Coordinator|(publisher: fox popularity: 23912 video: 20082 text: 3831)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|(publisher: hfn popularity: 42437 video: 9267 text: 33171)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|(publisher: sears popularity: 11263 video: 8993 text: 2271)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|(publisher: nyt popularity: 30380 video: 2944 text: 27437)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|(publisher: ebay popularity: 87638 video: 10821 text: 76818)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|(publisher: wallmart popularity: 18131 video: 12146 text: 5986)
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1 : Simulation Status Received
05/04 06:26:10 WARNING OrOmerShelly.Coordinator|BidBundle is null!
05/04 06:26:10 INFO OrOmerShelly.Coordinator|Day 1 ended. Starting next day
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2 :BankStatus[-0.145800]
05/04 06:26:20 INFO OrOmerShelly.OOSAgent|UNKNOWN Message Received: (CampaignAuctionReport CampaignAuctionReportEntry [actualBid=993.0, effectiveBid=993.0] CampaignAuctionReportEntry [actualBid=2237.0, effectiveBid=2237.0] CampaignAuctionReportEntry [actualBid=2290.0, effectiveBid=2290.0] CampaignAuctionReportEntry [actualBid=2350.0, effectiveBid=2350.0] CampaignAuctionReportEntry [actualBid=2622.0, effectiveBid=2622.0] CampaignAuctionReportEntry [actualBid=2644.0, effectiveBid=2644.0] CampaignAuctionReportEntry [actualBid=2919.0, effectiveBid=2919.0] CampaignAuctionReportEntry [actualBid=2972.0, effectiveBid=2972.0])
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2: Updating campaign 1618097247 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
05/04 06:26:20 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2: Campaign opportunity - Campaign ID 1550627562: day 4 to 8 [MALE, YOUNG], reach: 3750 coefs: (v=2.0, m=1.5)
05/04 06:26:20 INFO OrOmerShelly.Coordinator|****=== ESPECIALLY CRAFTED ===****
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2: Campaign total budget bid: 600.8253764106094
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2: Adjusting ucs bid: was 0.13976599186353617 level reported: 0.47829690000000014 target: 0.9 adjusted: 0.14125073233558358
05/04 06:26:20 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2 : Simulation Status Received
05/04 06:26:20 WARNING OrOmerShelly.Coordinator|BidBundle is null!
05/04 06:26:20 INFO OrOmerShelly.Coordinator|Day 2 ended. Starting next day
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3 :BankStatus[-0.291600]
05/04 06:26:30 INFO OrOmerShelly.OOSAgent|UNKNOWN Message Received: (CampaignAuctionReport CampaignAuctionReportEntry [actualBid=600.0, effectiveBid=600.0] CampaignAuctionReportEntry [actualBid=2260.0, effectiveBid=2260.0] CampaignAuctionReportEntry [actualBid=2414.0, effectiveBid=2414.0] CampaignAuctionReportEntry [actualBid=3181.0, effectiveBid=3181.0])
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3: Updating campaign 1618097247 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
05/04 06:26:30 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3: Campaign opportunity - Campaign ID 1490741245: day 5 to 14 [MALE, HIGH_INCOME], reach: 6250 coefs: (v=2.0, m=1.5)
05/04 06:26:30 INFO OrOmerShelly.Coordinator|****=== ESPECIALLY CRAFTED ===****
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3: Campaign total budget bid: 506.7152569141656
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3: Adjusting ucs bid: was 0.14125073233558358 level reported: 0.47829690000000014 target: 0.9 adjusted: 0.15125418881718253
05/04 06:26:30 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3 : Simulation Status Received
05/04 06:26:30 WARNING OrOmerShelly.Coordinator|BidBundle is null!
05/04 06:26:30 INFO OrOmerShelly.Coordinator|Day 3 ended. Starting next day
05/04 06:26:40 INFO OrOmerShelly.Coordinator|Day 4 :BankStatus[-0.437400]
05/04 06:26:40 INFO OrOmerShelly.OOSAgent|UNKNOWN Message Received: (CampaignAuctionReport CampaignAuctionReportEntry [actualBid=2007.0, effectiveBid=2007.0] CampaignAuctionReportEntry [actualBid=2353.0, effectiveBid=2353.0] CampaignAuctionReportEntry [actualBid=3213.0, effectiveBid=3213.0])
05/04 06:26:40 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:40 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:40 INFO OrOmerShelly.Coordinator|Day 4: Campaign opportunity - Campaign ID 899940024: day 6 to 15 [FEMALE, YOUNG], reach: 6250 coefs: (v=2.0, m=1.5)
05/04 06:26:40 INFO OrOmerShelly.Coordinator|****=== ESPECIALLY CRAFTED ===****
05/04 06:26:40 INFO OrOmerShelly.Coordinator|Day 4: Campaign total budget bid: 504.19654481610286
05/04 06:26:40 INFO OrOmerShelly.Coordinator|Day 4: Adjusting ucs bid: was 0.15125418881718253 level reported: 0.47829690000000014 target: 0.9 adjusted: 0.1645804165011474
05/04 06:26:40 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:40 INFO OrOmerShelly.Coordinator|Day 4 : Simulation Status Received
05/04 06:26:40 WARNING OrOmerShelly.Coordinator|BidBundle is null!
05/04 06:26:40 INFO OrOmerShelly.Coordinator|Day 4 ended. Starting next day
05/04 06:26:50 INFO OrOmerShelly.Coordinator|Day 5 :BankStatus[-0.583200]
05/04 06:26:50 INFO OrOmerShelly.OOSAgent|UNKNOWN Message Received: (CampaignAuctionReport CampaignAuctionReportEntry [actualBid=2008.0, effectiveBid=2008.0] CampaignAuctionReportEntry [actualBid=3190.0, effectiveBid=3190.0])
05/04 06:26:50 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:50 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:50 INFO OrOmerShelly.Coordinator|Day 5: Campaign opportunity - Campaign ID 826634420: day 7 to 16 [FEMALE, OLD], reach: 6250 coefs: (v=2.0, m=1.5)
05/04 06:26:50 INFO OrOmerShelly.Coordinator|****=== ESPECIALLY CRAFTED ===****
05/04 06:26:50 INFO OrOmerShelly.Coordinator|Day 5: Campaign total budget bid: 490.2543379498153
05/04 06:26:50 INFO OrOmerShelly.Coordinator|Day 5: Adjusting ucs bid: was 0.1645804165011474 level reported: 0.47829690000000014 target: 0.9 adjusted: 0.17011960631569795
05/04 06:26:50 SEVERE OrOmerShelly.OOSAgent|Exception thrown while trying to parse message.java.lang.NullPointerException
05/04 06:26:50 INFO OrOmerShelly.Coordinator|Day 5 : Simulation Status Received
05/04 06:26:50 WARNING OrOmerShelly.Coordinator|BidBundle is null!
05/04 06:26:50 INFO OrOmerShelly.Coordinator|Day 5 ended. Starting next day
